person_age,person_income,loan_amnt,loan_int_rate,loan_status,PD,Exposure,LGD,Expected_Loss,Loan_Grade
21,9600,1000,11.14,0,0.1,1000,0.45,45.00000000000001,B
25,9600,5500,12.87,1,0.98,5500,0.45,2425.5,C
23,65500,35000,15.23,1,0.965,35000,0.45,15198.749999999998,C
24,54400,35000,14.27,1,1.0,35000,0.45,15750.0,C
21,9900,2500,7.14,1,0.95,2500,0.45,1068.75,A
26,77100,35000,12.42,1,0.99,35000,0.45,15592.5,B
24,78956,35000,11.11,1,0.96,35000,0.45,15120.0,B
24,83000,35000,8.9,1,0.96,35000,0.45,15120.0,A
21,10000,1600,14.74,1,0.78,1600,0.45,561.6,D
22,85000,35000,10.37,1,0.975,35000,0.45,15356.249999999998,B
21,10000,4500,8.63,1,0.94,4500,0.45,1903.5,A
23,95000,35000,7.9,1,0.935,35000,0.45,14726.25,A
26,108160,35000,18.39,1,0.935,35000,0.45,14726.25,E
23,115000,35000,7.9,0,0.025,35000,0.45,393.75000000000006,A
23,500000,30000,10.65,0,0.02,30000,0.45,270.00000000000006,B
23,120000,35000,7.9,0,0.015,35000,0.45,236.25,A
23,92111,35000,20.25,1,0.96,35000,0.45,15120.0,F
23,113000,35000,18.25,1,0.94,35000,0.45,14805.0,D
24,10800,1750,10.99,1,0.885,1750,0.45,696.9375,B
25,162500,35000,7.49,0,0.005,35000,0.45,78.75000000000001,A
25,137000,34800,16.77,0,0.115,34800,0.45,1800.9,E
22,65000,34000,17.58,1,0.94,34000,0.45,14382.0,D
24,10980,1500,7.29,0,0.075,1500,0.45,50.625,A
22,80000,33950,14.54,1,0.865,33950,0.45,13215.0375,D
24,67746,33000,12.68,1,0.965,33000,0.45,14330.249999999998,C
21,11000,4575,17.74,1,0.925,4575,0.45,1904.34375,E
23,11000,1400,9.32,0,0.05,1400,0.45,31.500000000000004,A
24,65000,32500,9.99,1,0.98,32500,0.45,14332.5,B
21,11389,4000,12.84,1,0.925,4000,0.45,1665.0,C
21,11520,2000,11.12,1,0.9,2000,0.45,810.0,B
25,120000,32000,6.62,0,0.01,32000,0.45,144.00000000000003,A
26,95000,31050,14.17,1,0.815,31050,0.45,11387.5875,C
25,306000,24250,13.85,0,0.025,24250,0.45,272.81250000000006,C
26,300000,7800,13.49,0,0.0,7800,0.45,0.0,C
21,12000,2500,7.51,1,0.96,2500,0.45,1080.0,A
22,48000,30000,18.39,1,0.995,30000,0.45,13432.5,E
24,64000,30000,14.54,1,0.98,30000,0.45,13230.0,D
25,75000,30000,16.89,1,0.98,30000,0.45,13230.0,D
23,71500,30000,10.99,1,0.99,30000,0.45,13365.0,D
26,62050,30000,17.99,1,0.99,30000,0.45,13365.0,E
24,12000,2500,12.69,1,0.905,2500,0.45,1018.125,B
26,300000,20000,7.88,0,0.01,20000,0.45,90.00000000000001,A
23,300000,24250,19.41,0,0.155,24250,0.45,1691.4375000000002,F
26,300000,10000,10.38,0,0.025,10000,0.45,112.50000000000001,B
26,300000,25000,15.33,0,0.045,25000,0.45,506.25,D
25,300000,18000,16.45,0,0.2,18000,0.45,1620.0000000000002,E
26,80690,30000,7.49,1,0.95,30000,0.45,12825.0,A
22,66300,30000,12.69,1,0.985,30000,0.45,13297.5,B
26,89028,30000,6.62,1,0.98,30000,0.45,13230.0,A
24,78000,30000,10.99,1,0.995,30000,0.45,13432.5,D
23,78000,30000,18.62,1,0.98,30000,0.45,13230.0,F
23,92004,30000,15.23,1,0.825,30000,0.45,11137.499999999998,C
23,97000,30000,10.65,1,0.9,30000,0.45,12150.0,B
25,120000,30000,7.9,0,0.055,30000,0.45,742.5,A
26,280000,10000,15.96,0,0.07,10000,0.45,315.00000000000006,C
26,277104,20000,11.48,0,0.03,20000,0.45,270.0,B
23,277000,35000,10.99,0,0.005,35000,0.45,78.75000000000001,A
25,128000,30000,7.29,0,0.01,30000,0.45,135.00000000000003,A
24,12000,1750,10.99,0,0.18,1750,0.45,141.75,E
21,131000,30000,5.99,0,0.035,30000,0.45,472.5000000000001,A
22,275000,12000,11.58,0,0.0,12000,0.45,0.0,B
26,263000,10000,10.99,1,0.67,10000,0.45,3015.0000000000005,B
25,221850,25000,15.7,1,0.92,25000,0.45,10350.0,D
22,70000,29100,15.99,1,0.975,29100,0.45,12767.625,D
22,12000,1500,14.84,0,0.55,1500,0.45,371.25000000000006,D
26,260000,28000,10.99,0,0.035,28000,0.45,441.0000000000001,B
25,259000,20000,14.42,0,0.115,20000,0.45,1035.0,D
24,255000,9600,6.99,0,0.02,9600,0.45,86.4,A
25,250000,25000,13.49,0,0.05,25000,0.45,562.5000000000001,C
25,12000,3000,10.99,1,0.9,3000,0.45,1215.0,C
22,56950,28000,10.99,1,1.0,28000,0.45,12600.0,A
21,12000,3000,13.61,1,0.94,3000,0.45,1269.0,C
23,65000,28000,7.9,1,0.975,28000,0.45,12285.0,A
26,85000,28000,7.49,1,0.98,28000,0.45,12348.0,A
26,12000,6100,7.51,1,0.98,6100,0.45,2690.1,A
22,88000,28000,9.91,1,0.97,28000,0.45,12222.0,B
21,12000,4200,13.48,1,0.935,4200,0.45,1767.15,C
22,12000,4750,7.14,1,0.985,4750,0.45,2105.4375,A
24,83004,28000,15.99,1,0.95,28000,0.45,11970.0,D
24,250000,18000,12.98,0,0.035,18000,0.45,283.50000000000006,C
25,100000,28000,12.69,0,0.04,28000,0.45,504.00000000000006,B
26,110000,28000,8.9,0,0.035,28000,0.45,441.0000000000001,A
26,12000,2700,10.99,1,0.97,2700,0.45,1178.55,A
22,108000,28000,10.99,1,0.685,28000,0.45,8631.0,B
23,151200,28000,11.11,0,0.05,28000,0.45,630.0000000000001,B
24,69000,27600,10.99,1,0.98,27600,0.45,12171.6,A
